ds,y
2022-01-29,529
2022-01-30,480
2022-01-30,481
2022-01-30,125
2022-01-30,315
2022-01-30,340
2022-01-30,252
2022-01-30,185
2022-01-30,263
2022-01-30,272
2022-01-30,329
2022-01-30,339
2022-01-30,149
2022-01-30,509
2022-01-30,425
2022-01-31,246
2022-01-31,191
2022-01-31,181
2022-01-31,192
2022-01-31,181
2022-01-31,249
2022-01-31,152
2022-01-31,221
2022-01-31,208
2022-01-31,111
2022-01-31,54
2022-01-31,106
2022-01-31,148
2022-01-31,235
2022-02-01,131
2022-02-01,191
2022-02-01,235
2022-02-01,301
2022-02-01,171
2022-02-01,107
2022-02-01,46
2022-02-01,170
2022-02-01,180
2022-02-01,244
2022-02-01,224
2022-02-01,218
2022-02-01,261
2022-02-01,187
2022-02-01,187
2022-02-02,167
2022-02-02,186
2022-02-02,167
2022-02-02,99
2022-02-02,196
2022-02-02,221
2022-02-02,267
2022-02-02,178
2022-02-02,118
2022-02-02,241
2022-02-02,174
2022-02-02,216
2022-02-02,152
2022-02-03,154
2022-02-03,224
2022-02-03,112
2022-02-03,45
2022-02-03,163
2022-02-03,189
2022-02-03,277
2022-02-03,151
2022-02-03,283
2022-02-03,190
2022-02-03,173
2022-02-03,192
2022-02-03,234
2022-02-03,238
2022-02-04,216
2022-02-04,132
2022-02-04,325
2022-02-04,313
2022-02-04,282
2022-02-04,123
2022-02-04,170
2022-02-04,266
2022-02-04,174
2022-02-04,179
2022-02-04,135
2022-02-04,181
2022-02-04,411
2022-02-04,366
2022-02-05,163
2022-02-05,395
2022-02-05,359
2022-02-05,247
2022-02-05,138
2022-02-05,36
2022-02-05,215
2022-02-05,230
2022-02-05,331
2022-02-05,366
2022-02-05,166
2022-02-05,302
2022-02-05,162
2022-02-05,262
2022-02-05,264
2022-02-06,201
2022-02-06,343
2022-02-06,378
2022-02-06,429
2022-02-06,196
2022-02-06,200
2022-02-06,398
2022-02-06,235
2022-02-06,271
2022-02-06,269
2022-02-06,211
2022-02-06,75
2022-02-06,50
2022-02-06,107
2022-02-06,135
2022-02-07,198
2022-02-07,245
2022-02-07,98
2022-02-07,132
2022-02-07,174
2022-02-07,258
2022-02-07,214
2022-02-07,51
2022-02-07,184
2022-02-07,150
2022-02-07,183
2022-02-07,181
2022-02-07,109
2022-02-07,143
2022-02-08,48
2022-02-08,188
2022-02-08,113
2022-02-08,141
2022-02-08,110
2022-02-08,142
2022-02-08,129
2022-02-08,172
2022-02-08,190
2022-02-08,230
2022-02-08,228
2022-02-08,241
2022-02-08,193
2022-02-08,215
2022-02-09,224
2022-02-09,51
2022-02-09,205
2022-02-09,248
2022-02-09,153
2022-02-09,181
2022-02-09,139
2022-02-09,119
2022-02-09,211
2022-02-09,104
2022-02-09,176
2022-02-09,157
2022-02-09,126
2022-02-09,221
2022-02-10,180
2022-02-10,116
2022-02-10,221
2022-02-10,189
2022-02-10,265
2022-02-10,211
2022-02-10,304
2022-02-10,280
2022-02-10,218
2022-02-10,233
2022-02-10,135
2022-02-10,189
2022-02-10,156
2022-02-11,242
2022-02-11,192
2022-02-11,158
2022-02-11,225
2022-02-11,218
2022-02-11,74
2022-02-11,374
2022-02-11,337
2022-02-11,320
2022-02-11,203
2022-02-11,252
2022-02-11,121
2022-02-11,118
2022-02-11,161
2022-02-11,153
2022-02-12,240
2022-02-12,352
2022-02-12,139
2022-02-12,156
2022-02-12,139
2022-02-12,373
2022-02-12,338
2022-02-12,309
2022-02-12,361
2022-02-12,277
2022-02-12,270
2022-02-12,228
2022-02-12,210
2022-02-12,285
2022-02-13,260
2022-02-13,370
2022-02-13,211
2022-02-13,342
2022-02-13,365
2022-02-13,129
2022-02-13,248
2022-02-13,268
2022-02-13,428
2022-02-13,380
2022-02-13,130
2022-02-13,248
2022-02-13,358
2022-02-13,119
2022-02-14,103
2022-02-14,250
2022-02-14,265
2022-02-14,239
2022-02-14,122
2022-02-14,188
2022-02-14,229
2022-02-14,183
2022-02-14,141
2022-02-14,190
2022-02-14,174
2022-02-14,236
2022-02-14,196
2022-02-15,186
2022-02-15,58
2022-02-15,182
2022-02-15,233
2022-02-15,209
2022-02-15,152
2022-02-15,255
2022-02-15,155
2022-02-15,220
2022-02-15,157
2022-02-15,215
2022-02-15,124
2022-02-15,116
2022-02-15,112
2022-02-16,210
2022-02-16,175
2022-02-16,196
2022-02-16,210
2022-02-16,203
2022-02-16,253
2022-02-16,236
2022-02-16,134
2022-02-16,97
2022-02-16,190
2022-02-16,254
2022-02-16,225
2022-02-16,171
2022-02-17,266
2022-02-17,273
2022-02-17,110
2022-02-17,222
2022-02-17,201
2022-02-17,127
2022-02-17,165
2022-02-17,253
2022-02-17,224
2022-02-17,181
2022-02-17,196
2022-02-17,203
2022-02-17,259
2022-02-18,219
2022-02-18,122
2022-02-18,164
2022-02-18,113
2022-02-18,272
2022-02-18,155
2022-02-18,225
2022-02-18,291
2022-02-18,198
2022-02-18,367
2022-02-18,141
2022-02-18,219
2022-02-18,154
2022-02-18,235
2022-02-19,269
2022-02-19,384
2022-02-19,253
2022-02-19,287
2022-02-19,348
2022-02-19,289
2022-02-19,278
2022-02-19,256
2022-02-19,128
2022-02-19,137
2022-02-19,310
2022-02-19,126
2022-02-19,196
2022-02-19,248
2022-02-20,126
2022-02-20,237
2022-02-20,300
2022-02-20,73
2022-02-20,259
2022-02-20,209
2022-02-20,240
2022-02-20,376
2022-02-20,108
2022-02-20,282
2022-02-20,265
2022-02-20,219
2022-02-20,361
2022-02-20,298
2022-02-20,99
2022-02-21,191
2022-02-21,172
2022-02-21,164
2022-02-21,218
2022-02-21,157
2022-02-21,140
2022-02-21,117
2022-02-21,234
2022-02-21,222
2022-02-21,170
2022-02-21,107
2022-02-21,109
2022-02-21,123
2022-02-22,92
2022-02-22,129
2022-02-22,142
2022-02-22,199
2022-02-22,207
2022-02-22,157
2022-02-22,163
2022-02-22,150
2022-02-22,217
2022-02-22,310
2022-02-22,187
2022-02-22,106
2022-02-22,55
2022-02-22,241
2022-02-23,179
2022-02-23,227
2022-02-23,197
2022-02-23,186
2022-02-23,46
2022-02-23,147
2022-02-23,236
2022-02-23,95
2022-02-23,150
2022-02-23,133
2022-02-23,192
2022-02-23,175
2022-02-23,209
2022-02-23,217
2022-02-24,139
2022-02-24,104
2022-02-24,41
2022-02-24,272
2022-02-24,169
2022-02-24,94
2022-02-24,212
2022-02-24,160
2022-02-24,190
2022-02-24,120
2022-02-24,186
2022-02-24,244
2022-02-24,193
2022-02-24,170
2022-02-25,118
2022-02-25,360
2022-02-25,157
2022-02-25,319
2022-02-25,326
2022-02-25,175
2022-02-25,256
2022-02-25,164
2022-02-25,263
2022-02-25,209
2022-02-25,55
2022-02-25,292
2022-02-25,135
2022-02-25,213
2022-02-25,193
2022-02-26,338
2022-02-26,317
2022-02-26,424
2022-02-26,43
2022-02-26,210
2022-02-26,221
2022-02-26,133
2022-02-26,117
2022-02-26,273
2022-02-26,330
2022-02-26,326
2022-02-26,263
2022-02-26,305
2022-02-26,327
2022-02-26,176
2022-02-27,248
2022-02-27,239
2022-02-27,250
2022-02-27,431
2022-02-27,307
2022-02-27,256
2022-02-27,296
2022-02-27,118
2022-02-27,149
2022-02-27,85
2022-02-27,316
2022-02-27,380
2022-02-27,333
2022-02-27,384
2022-02-27,46
2022-02-28,178
2022-02-28,234
2022-02-28,224
2022-02-28,148
2022-02-28,194
2022-02-28,320
2022-02-28,228
2022-02-28,118
2022-02-28,214
2022-02-28,38
2022-02-28,180
2022-02-28,174
2022-02-28,289
2022-02-28,144
2022-02-28,139
2022-03-01,106
2022-03-01,235
2022-03-01,185
2022-03-01,159
2022-03-01,258
2022-03-01,279
2022-03-01,261
2022-03-01,197
2022-03-01,209
2022-03-01,217
2022-03-01,149
2022-03-01,113
2022-03-01,172
2022-03-02,154
2022-03-02,189
2022-03-02,245
2022-03-02,126
2022-03-02,165
2022-03-02,245
2022-03-02,235
2022-03-02,192
2022-03-02,217
2022-03-02,296
2022-03-02,229
2022-03-02,216
2022-03-02,138
2022-03-03,254
2022-03-03,201
2022-03-03,232
2022-03-03,211
2022-03-03,201
2022-03-03,59
2022-03-03,182
2022-03-03,213
2022-03-03,124
2022-03-03,277
2022-03-03,280
2022-03-03,245
2022-03-03,200
2022-03-03,136
2022-03-04,278
2022-03-04,70
2022-03-04,231
2022-03-04,340
2022-03-04,126
2022-03-04,212
2022-03-04,375
2022-03-04,187
2022-03-04,183
2022-03-04,268
2022-03-04,223
2022-03-04,103
2022-03-04,382
2022-03-04,302
2022-03-04,291
2022-03-05,152
2022-03-05,254
2022-03-05,433
2022-03-05,278
2022-03-05,394
2022-03-05,90
2022-03-05,209
2022-03-05,292
2022-03-05,424
2022-03-05,157
2022-03-05,358
2022-03-05,318
2022-03-05,275
2022-03-05,324
2022-03-06,327
2022-03-06,241
2022-03-06,110
2022-03-06,218
2022-03-06,357
2022-03-06,253
2022-03-06,315
2022-03-06,409
2022-03-06,101
2022-03-06,81
2022-03-06,291
2022-03-06,275
2022-03-06,278
2022-03-06,46
2022-03-06,393
2022-03-07,261
2022-03-07,211
2022-03-07,245
2022-03-07,138
2022-03-07,268
2022-03-07,110
2022-03-07,166
2022-03-07,286
2022-03-07,198
2022-03-07,166
2022-03-07,174
2022-03-07,123
2022-03-07,176
2022-03-08,155
2022-03-08,185
2022-03-08,97
2022-03-08,265
2022-03-08,134
2022-03-08,205
2022-03-08,233
2022-03-08,227
2022-03-08,164
2022-03-08,127
2022-03-08,274
2022-03-08,52
2022-03-08,224
2022-03-08,161
2022-03-09,168
2022-03-09,199
2022-03-09,202
2022-03-09,180
2022-03-09,210
2022-03-09,283
2022-03-09,122
2022-03-09,132
2022-03-09,47
2022-03-09,237
2022-03-09,188
2022-03-09,181
2022-03-09,201
2022-03-09,164
2022-03-10,55
2022-03-10,210
2022-03-10,254
2022-03-10,245
2022-03-10,126
2022-03-10,138
2022-03-10,240
2022-03-10,165
2022-03-10,304
2022-03-10,216
2022-03-10,280
2022-03-10,161
2022-03-10,192
2022-03-10,221
2022-03-11,111
2022-03-11,259
2022-03-11,332
2022-03-11,146
2022-03-11,402
2022-03-11,240
2022-03-11,299
2022-03-11,136
2022-03-11,59
2022-03-11,149
2022-03-11,271
2022-03-11,200
2022-03-11,365
2022-03-11,168
2022-03-11,219
2022-03-12,236
2022-03-12,254
2022-03-12,248
2022-03-12,366
2022-03-12,185
2022-03-12,238
2022-03-12,372
2022-03-12,286
2022-03-12,297
2022-03-12,287
2022-03-12,462
2022-03-12,168
2022-03-12,113
2022-03-12,71
2022-03-12,343
2022-03-13,261
2022-03-13,234
2022-03-13,244
2022-03-13,355
2022-03-13,269
2022-03-13,211
2022-03-13,397
2022-03-13,427
2022-03-13,296
2022-03-13,410
2022-03-13,137
2022-03-13,71
2022-03-13,180
2022-03-13,292
2022-03-14,141
2022-03-14,178
2022-03-14,159
2022-03-14,180
2022-03-14,44
2022-03-14,109
2022-03-14,238
2022-03-14,120
2022-03-14,157
2022-03-14,219
2022-03-14,160
2022-03-14,203
2022-03-14,183
2022-03-14,248
2022-03-15,209
2022-03-15,254
2022-03-15,80
2022-03-15,164
2022-03-15,135
2022-03-15,175
2022-03-15,275
2022-03-15,188
2022-03-15,230
2022-03-15,260
2022-03-15,179
2022-03-15,182
2022-03-15,158
2022-03-15,57
2022-03-16,114
2022-03-16,242
2022-03-16,190
2022-03-16,219
2022-03-16,56
2022-03-16,183
2022-03-16,192
2022-03-16,78
2022-03-16,182
2022-03-16,264
2022-03-16,154
2022-03-16,275
2022-03-16,283
2022-03-16,231
2022-03-17,153
2022-03-17,173
2022-03-17,212
2022-03-17,178
2022-03-17,175
2022-03-17,220
2022-03-17,233
2022-03-17,127
2022-03-17,199
2022-03-17,272
2022-03-17,234
2022-03-17,91
2022-03-17,206
2022-03-18,242
2022-03-18,184
2022-03-18,156
2022-03-18,321
2022-03-18,309
2022-03-18,189
2022-03-18,241
2022-03-18,255
2022-03-18,231
2022-03-18,102
2022-03-18,260
2022-03-18,186
2022-03-18,275
2022-03-18,158
2022-03-18,41
2022-03-19,335
2022-03-19,255
2022-03-19,194
2022-03-19,308
2022-03-19,342
2022-03-19,248
2022-03-19,219
2022-03-19,292
2022-03-19,242
2022-03-19,374
2022-03-19,142
2022-03-19,264
2022-03-19,68
2022-03-19,136
2022-03-19,110
2022-03-20,280
2022-03-20,213
2022-03-20,217
2022-03-20,76
2022-03-20,263
2022-03-20,264
2022-03-20,103
2022-03-20,360
2022-03-20,235
2022-03-20,246
2022-03-20,286
2022-03-20,195
2022-03-20,46
2022-03-20,390
2022-03-20,370
2022-03-20,367
2022-03-21,217
2022-03-21,85
2022-03-21,92
2022-03-21,223
2022-03-21,256
2022-03-21,176
2022-03-21,176
2022-03-21,193
2022-03-21,104
2022-03-21,135
2022-03-21,198
2022-03-21,185
2022-03-21,170
2022-03-21,227
2022-03-22,192
2022-03-22,119
2022-03-22,204
2022-03-22,202
2022-03-22,184
2022-03-22,165
2022-03-22,263
2022-03-22,193
2022-03-22,214
2022-03-22,119
2022-03-22,189
2022-03-22,239
2022-03-22,223
2022-03-23,202
2022-03-23,157
2022-03-23,215
2022-03-23,201
2022-03-23,193
2022-03-23,187
2022-03-23,218
2022-03-23,108
2022-03-23,243
2022-03-23,122
2022-03-23,220
2022-03-23,201
2022-03-23,220
2022-03-24,185
2022-03-24,129
2022-03-24,238
2022-03-24,236
2022-03-24,228
2022-03-24,223
2022-03-24,203
2022-03-24,308
2022-03-24,159
2022-03-24,246
2022-03-24,157
2022-03-24,233
2022-03-24,177
2022-03-24,111
2022-03-25,223
2022-03-25,233
2022-03-25,249
2022-03-25,142
2022-03-25,209
2022-03-25,166
2022-03-25,317
2022-03-25,269
2022-03-25,264
2022-03-25,81
2022-03-25,175
2022-03-25,336
2022-03-25,242
2022-03-25,265
2022-03-26,356
2022-03-26,396
2022-03-26,127
2022-03-26,399
2022-03-26,209
2022-03-26,305
2022-03-26,156
2022-03-26,220
2022-03-26,313
2022-03-26,245
2022-03-26,247
2022-03-26,346
2022-03-26,366
2022-03-26,186
2022-03-27,357
2022-03-27,255
2022-03-27,244
2022-03-27,415
2022-03-27,358
2022-03-27,87
2022-03-27,129
2022-03-27,215
2022-03-27,328
2022-03-27,220
2022-03-27,312
2022-03-27,343
2022-03-27,267
2022-03-27,146
2022-03-28,192
2022-03-28,183
2022-03-28,250
2022-03-28,201
2022-03-28,265
2022-03-28,261
2022-03-28,223
2022-03-28,225
2022-03-28,56
2022-03-28,125
2022-03-28,170
2022-03-28,240
2022-03-28,173
2022-03-28,87
2022-03-29,286
2022-03-29,274
2022-03-29,146
2022-03-29,118
2022-03-29,222
2022-03-29,58
2022-03-29,199
2022-03-29,240
2022-03-29,257
2022-03-29,289
2022-03-29,275
2022-03-29,99
2022-03-29,227
2022-03-29,236
2022-03-30,288
2022-03-30,247
2022-03-30,228
2022-03-30,226
2022-03-30,203
2022-03-30,187
2022-03-30,188
2022-03-30,100
2022-03-30,241
2022-03-30,238
2022-03-30,214
2022-03-30,285
2022-03-30,100
2022-03-31,192
2022-03-31,132
2022-03-31,253
2022-03-31,71
2022-03-31,195
2022-03-31,287
2022-03-31,163
2022-03-31,237
2022-03-31,181
2022-03-31,121
2022-03-31,269
2022-03-31,166
2022-03-31,278
2022-03-31,146
2022-03-31,208
2022-04-01,330
2022-04-01,112
2022-04-01,284
2022-04-01,173
2022-04-01,231
2022-04-01,242
2022-04-01,239
2022-04-01,273
2022-04-01,169
2022-04-01,248
2022-04-01,123
2022-04-01,48
2022-04-01,207
2022-04-01,221
2022-04-01,310
2022-04-02,287
2022-04-02,107
2022-04-02,170
2022-04-02,252
2022-04-02,238
2022-04-02,266
2022-04-02,267
2022-04-02,294
2022-04-02,134
2022-04-02,248
2022-04-02,184
2022-04-02,213
2022-04-02,230
2022-04-02,269
2022-04-02,178
2022-04-03,306
2022-04-03,199
2022-04-03,273
2022-04-03,201
2022-04-03,226
2022-04-03,103
2022-04-03,252
2022-04-03,255
2022-04-03,297
2022-04-03,111
2022-04-03,59
2022-04-03,271
2022-04-03,150
2022-04-03,145
2022-04-03,325
2022-04-04,203
2022-04-04,160
2022-04-04,119
2022-04-04,213
2022-04-04,184
2022-04-04,143
2022-04-04,184
2022-04-04,166
2022-04-04,145
2022-04-04,121
2022-04-04,83
2022-04-04,231
2022-04-04,170
2022-04-04,203
2022-04-05,218
2022-04-05,125
2022-04-05,185
2022-04-05,153
2022-04-05,162
2022-04-05,182
2022-04-05,85
2022-04-05,157
2022-04-05,187
2022-04-05,221
2022-04-05,223
2022-04-05,215
2022-04-05,159
2022-04-05,192
2022-04-06,128
2022-04-06,251
2022-04-06,109
2022-04-06,198
2022-04-06,235
2022-04-06,118
2022-04-06,127
2022-04-06,151
2022-04-06,190
2022-04-06,218
2022-04-06,170
2022-04-06,203
2022-04-06,228
2022-04-06,182
2022-04-07,191
2022-04-07,177
2022-04-07,139
2022-04-07,62
2022-04-07,146
2022-04-07,109
2022-04-07,218
2022-04-07,273
2022-04-07,144
2022-04-07,212
2022-04-07,185
2022-04-07,158
2022-04-07,231
2022-04-07,192
2022-04-07,151
2022-04-08,267
2022-04-08,91
2022-04-08,212
2022-04-08,290
2022-04-08,183
2022-04-08,163
2022-04-08,194
2022-04-08,177
2022-04-08,250
2022-04-08,254
2022-04-08,153
2022-04-08,69
2022-04-08,237
2022-04-08,205
2022-04-08,262
2022-04-09,212
2022-04-09,263
2022-04-09,177
2022-04-09,167
2022-04-09,125
2022-04-09,248
2022-04-09,235
2022-04-09,243
2022-04-09,127
2022-04-09,269
2022-04-09,267
2022-04-09,67
2022-04-09,191
2022-04-09,256
2022-04-09,296
2022-04-09,261
2022-04-10,263
2022-04-10,260
2022-04-10,147
2022-04-10,350
2022-04-10,239
2022-04-10,311
2022-04-10,273
2022-04-10,108
2022-04-10,230
2022-04-10,257
2022-04-10,189
2022-04-10,245
2022-04-10,387
2022-04-10,210
2022-04-11,186
2022-04-11,167
2022-04-11,98
2022-04-11,212
2022-04-11,130
2022-04-11,170
2022-04-11,206
2022-04-11,180
2022-04-11,115
2022-04-11,268
2022-04-11,115
2022-04-11,195
2022-04-11,190
2022-04-11,107
2022-04-11,171
2022-04-12,228
2022-04-12,229
2022-04-12,229
2022-04-12,110
2022-04-12,161
2022-04-12,137
2022-04-12,246
2022-04-12,163
2022-04-12,141
2022-04-12,203
2022-04-12,279
2022-04-12,173
2022-04-12,202
2022-04-12,138
2022-04-12,128
2022-04-13,163
2022-04-13,206
2022-04-13,122
2022-04-13,304
2022-04-13,246
2022-04-13,147
2022-04-13,232
2022-04-13,110
2022-04-13,195
2022-04-13,203
2022-04-13,258
2022-04-13,190
2022-04-13,141
2022-04-13,214
2022-04-13,133
2022-04-14,221
2022-04-14,178
2022-04-14,128
2022-04-14,171
2022-04-14,141
2022-04-14,150
2022-04-14,173
2022-04-14,98
2022-04-14,318
2022-04-14,125
2022-04-14,68
2022-04-14,328
2022-04-14,228
2022-04-14,184
2022-04-14,238
2022-04-15,375
2022-04-15,120
2022-04-15,233
2022-04-15,216
2022-04-15,116
2022-04-15,137
2022-04-15,150
2022-04-15,210
2022-04-15,257
2022-04-15,316
2022-04-15,220
2022-04-15,204
2022-04-15,320
2022-04-15,208
2022-04-15,166
2022-04-16,283
2022-04-16,164
2022-04-16,302
2022-04-16,124
2022-04-16,268
2022-04-16,322
2022-04-16,321
2022-04-16,198
2022-04-16,253
2022-04-16,58
2022-04-16,272
2022-04-16,252
2022-04-16,409
2022-04-16,196
2022-04-16,215
2022-04-16,260
2022-04-17,350
2022-04-17,258
2022-04-17,210
2022-04-17,227
2022-04-17,296
2022-04-17,248
2022-04-17,196
2022-04-17,316
2022-04-17,229
2022-04-17,62
2022-04-17,113
2022-04-17,324
2022-04-17,214
2022-04-17,361
2022-04-17,347
2022-04-18,145
2022-04-18,228
2022-04-18,91
2022-04-18,205
2022-04-18,116
2022-04-18,210
2022-04-18,43
2022-04-18,65
2022-04-18,201
2022-04-18,199
2022-04-18,285
2022-04-18,194
2022-04-18,222
2022-04-18,132
2022-04-18,142
2022-04-18,97
2022-04-19,215
2022-04-19,135
2022-04-19,209
2022-04-19,106
2022-04-19,171
2022-04-19,210
2022-04-19,179
2022-04-19,181
2022-04-19,303
2022-04-19,175
2022-04-19,133
2022-04-19,149
2022-04-19,140
2022-04-19,68
2022-04-19,27
2022-04-19,210
2022-04-20,115
2022-04-20,54
2022-04-20,188
2022-04-20,231
2022-04-20,199
2022-04-20,101
2022-04-20,230
2022-04-20,207
2022-04-20,286
2022-04-20,260
2022-04-20,257
2022-04-20,155
2022-04-20,167
2022-04-20,199
2022-04-20,104
2022-04-20,68
2022-04-21,236
2022-04-21,390
2022-04-21,166
2022-04-21,199
2022-04-21,318
2022-04-21,186
2022-04-21,177
2022-04-21,166
2022-04-21,130
2022-04-21,161
2022-04-21,140
2022-04-21,113
2022-04-21,213
2022-04-21,155
2022-04-22,231
2022-04-22,171
2022-04-22,173
2022-04-22,283
2022-04-22,245
2022-04-22,183
2022-04-22,104
2022-04-22,55
2022-04-22,277
2022-04-22,77
2022-04-22,422
2022-04-22,351
2022-04-22,226
2022-04-22,256
2022-04-22,269
2022-04-22,372
